company_name,ticker,esg_score,risk_level,page_number
Aircastle Ltd.,-,22.1,Medium ESG Risk,36
Airoha Technology Corp.,TAI:6526,35.6,High ESG Risk,36
Airport Authority Hong Kong,-,10.3,Low ESG Risk,36
Airport City Ltd.,TAE:ARPT,24.4,Medium ESG Risk,36
"Airport Facilities Co., Ltd.",TKS:8864,23.5,Medium ESG Risk,36
Airports of Thailand Public Co. Ltd.,BKK:AOT,18.4,Low ESG Risk,36
"AirSculpt Technologies, Inc.",NAS:AIRS,33.1,High ESG Risk,37
Airservices Australia,-,19.3,Low ESG Risk,37
Airtac International Group,TAI:1590,30,High ESG Risk,37
Airtel Africa Plc,LON:AAF,22,Medium ESG Risk,37
AirTrip Corp.,TKS:6191,39.8,High ESG Risk,37
"Aisan Industry Co., Ltd.",TKS:7283,25.6,Medium ESG Risk,37
Aisin Corp.,TKS:7259,24.5,Medium ESG Risk,37
Aisino Corp.,SHG:600271,25.1,Medium ESG Risk,37
AIXTRON SE,ETR:AIXA,20.8,Medium ESG Risk,37
AJ Bell Plc,LON:AJB,23.9,Medium ESG Risk,37
Ajanta Pharma Ltd.,BOM:532331,30.7,High ESG Risk,38
"Ajinomoto Co., Inc.",TKS:2802,26.1,Medium ESG Risk,38
Ajman Bank PJSC,DFM:AJMANBANK,37.6,High ESG Risk,38
AK Medical Holdings Ltd.,HKG:1789,22.8,Medium ESG Risk,38
"Akamai Technologies, Inc.",NAS:AKAM,13.3,Low ESG Risk,38
"Akatsuki, Inc.",TKS:3932,24.1,Medium ESG Risk,38
Akbank TAS,IST:AKBNK.E,14.8,Low ESG Risk,38
Akcansa Cimento Sanayi ve Ticaret AS,IST:AKCNS.E,31.3,High ESG Risk,38
Akelius Residential Property AB,OME:AKEL.D,16.8,Low ESG Risk,38
Aker ASA,OSL:AKER,14.6,Low ESG Risk,38
Aker BP ASA,OSL:AKRBP,35.3,High ESG Risk,39
Aker Carbon Capture AS,OSL:ACC,23,Medium ESG Risk,39
Aker Horizons ASA,OSL:AKH,26.2,Medium ESG Risk,39
Aker Solutions ASA,OSL:AKSO,21.7,Medium ESG Risk,39
"Akero Therapeutics, Inc.",NAS:AKRO,37.6,High ESG Risk,39
"Akeso, Inc.",HKG:9926,32.3,High ESG Risk,39
